"","First.Name","Last.Name","Team","Position","Height.inches.","Weight.pounds.","Age","BMI"
"40","Tony","Clark","ARZ","First Baseman",79,245,34.71,3.10126582278481
"41","Chris","Young","ARZ","Outfielder",74,180,23.49,2.43243243243243
"42","Carlos","Quentin","ARZ","Outfielder",73,225,24.51,3.08219178082192
"43","Scott","Hairston","ARZ","Outfielder",72,188,26.77,2.61111111111111
"44","Eric","Byrnes","ARZ","Outfielder",74,210,31.04,2.83783783783784
"45","Jeff","DaVanon","ARZ","Outfielder",72,200,33.23,2.77777777777778
"46","Edgar","Gonzalez","ARZ","Relief Pitcher",72,215,24.02,2.98611111111111
"47","Tony","Pe?a","ARZ","Relief Pitcher",74,190,25.14,2.56756756756757
"48","Doug","Slaten","ARZ","Relief Pitcher",77,200,27.07,2.5974025974026
"49","Brandon","Medders","ARZ","Relief Pitcher",73,191,27.09,2.61643835616438
"50","Brandon","Lyon","ARZ","Relief Pitcher",73,180,27.56,2.46575342465753
"51","Jose","Valverde","ARZ","Relief Pitcher",76,254,27.6,3.3421052631579
"52","Jorge","Julio","ARZ","Relief Pitcher",73,232,27.99,3.17808219178082
"53","Orlando","Hudson","ARZ","Second Baseman",72,185,29.22,2.56944444444444
"54","Alberto","Callaspo","ARZ","Shortstop",70,175,23.87,2.5
"55","Stephen","Drew","ARZ","Shortstop",72,185,23.96,2.56944444444444
"56","Dana","Eveland","ARZ","Starting Pitcher",73,250,23.34,3.42465753424658
"57","Enrique","Gonzalez","ARZ","Starting Pitcher",70,210,24.57,3
"58","Brandon","Webb","ARZ","Starting Pitcher",74,228,27.81,3.08108108108108
"59","Juan","Cruz","ARZ","Starting Pitcher",74,165,28.38,2.22972972972973
"60","Doug","Davis","ARZ","Starting Pitcher",76,213,31.44,2.80263157894737
"61","Livan","Hernandez","ARZ","Starting Pitcher",74,245,32.02,3.31081081081081
"62","Randy","Johnson","ARZ","Starting Pitcher",82,231,43.47,2.81707317073171
"63","Chad","Tracy","ARZ","Third Baseman",74,200,26.77,2.7027027027027
"64","Brian","McCann","ATL","Catcher",75,210,23.03,2.8
"65","Brayan","Pe?a","ATL","Catcher",71,220,25.14,3.09859154929577
"66","Craig","Wilson","ATL","First Baseman",74,220,30.25,2.97297297297297
"67","Jeff","Francoeur","ATL","Outfielder",76,220,23.14,2.89473684210526
"68","Kelly","Johnson","ATL","Outfielder",73,180,25.02,2.46575342465753
"69","Scott","Thorman","ATL","Outfielder",75,200,25.15,2.66666666666667
"70","Ryan","Langerhans","ATL","Outfielder",75,195,27.03,2.6
"71","T.J.","Bohn","ATL","Outfielder",77,200,27.12,2.5974025974026
"72","Matt","Diaz","ATL","Outfielder",73,206,28.99,2.82191780821918
"73","Andruw","Jones","ATL","Outfielder",73,210,29.85,2.87671232876712
"74","Joey","Devine","ATL","Relief Pitcher",71,195,23.45,2.74647887323944
"75","Macay","McBride","ATL","Relief Pitcher",71,210,24.35,2.95774647887324
"76","Oscar","Villarreal","ATL","Relief Pitcher",72,205,25.27,2.84722222222222
"77","Blaine","Boyer","ATL","Relief Pitcher",75,190,25.64,2.53333333333333
"78","Manny","Acosta","ATL","Relief Pitcher",76,170,25.83,2.23684210526316
"79","Lance","Cormier","ATL","Relief Pitcher",73,192,26.53,2.63013698630137
"80","Phil","Stockman","ATL","Relief Pitcher",80,240,27.1,3
"81","Rafael","Soriano","ATL","Relief Pitcher",73,175,27.2,2.3972602739726
"82","Peter","Moylan","ATL","Relief Pitcher",74,200,28.24,2.7027027027027
"83","Mike","Gonzalez","ATL","Relief Pitcher",74,205,28.77,2.77027027027027
"84","Tyler","Yates","ATL","Relief Pitcher",76,220,29.56,2.89473684210526
"85","Chad","Paronto","ATL","Relief Pitcher",77,250,31.59,3.24675324675325
"86","Tanyon","Sturtze","ATL","Relief Pitcher",77,200,36.38,2.5974025974026
"87","Bob","Wickman","ATL","Relief Pitcher",73,240,38.06,3.28767123287671
"88","Martin","Prado","ATL","Second Baseman",73,170,23.34,2.32876712328767
"89","Pete","Orr","ATL","Second Baseman",73,175,27.73,2.3972602739726
"90","Chris","Woodward","ATL","Second Baseman",72,185,30.67,2.56944444444444
"91","Tony","Pe?a","ATL","Shortstop",73,180,25.94,2.46575342465753
"92","Edgar","Renteria","ATL","Shortstop",73,200,31.56,2.73972602739726
"93","Kyle","Davies","ATL","Starting Pitcher",74,205,23.47,2.77027027027027
"94","Chuck","James","ATL","Starting Pitcher",72,170,25.31,2.36111111111111
"95","Tim","Hudson","ATL","Starting Pitcher",73,164,31.63,2.24657534246575
"96","Jonathan","Johnson","ATL","Starting Pitcher",72,180,32.62,2.5
"97","Mike","Hampton","ATL","Starting Pitcher",70,195,34.47,2.78571428571429
"98","John","Smoltz","ATL","Starting Pitcher",75,220,39.79,2.93333333333333
"99","Willy","Aybar","ATL","Third Baseman",72,175,23.98,2.43055555555556
"100","Chipper","Jones","ATL","Third Baseman",76,210,34.85,2.76315789473684
"101","Adam","Donachie","BAL","Catcher",74,180,22.99,2.43243243243243
"102","Ramon","Hernandez","BAL","Catcher",72,210,30.78,2.91666666666667
"103","Paul","Bako","BAL","Catcher",74,215,34.69,2.9054054054054
"104","Jay","Gibbons","BAL","Designated Hitter",72,197,30,2.73611111111111
"105","Kevin","Millar","BAL","First Baseman",72,210,35.43,2.91666666666667
"106","Chris","Gomez","BAL","First Baseman",73,188,35.71,2.57534246575342
"107","Nick","Markakis","BAL","Outfielder",74,185,23.29,2.5
"108","Jeff","Fiorentino","BAL","Outfielder",73,188,23.88,2.57534246575342
"109","Brandon","Fahey","BAL","Outfielder",74,160,26.11,2.16216216216216
"110","Freddie","Bynum","BAL","Outfielder",73,180,26.96,2.46575342465753
"111","Adam","Stern","BAL","Outfielder",71,180,27.05,2.53521126760563
"112","Corey","Patterson","BAL","Outfielder",69,180,27.55,2.60869565217391
"113","Jay","Payton","BAL","Outfielder",70,185,34.27,2.64285714285714
"114","James","Hoey","BAL","Relief Pitcher",78,200,24.17,2.56410256410256
"115","Chris","Ray","BAL","Relief Pitcher",75,200,25.13,2.66666666666667
"116","Brian","Burres","BAL","Relief Pitcher",73,182,25.89,2.49315068493151
"117","Kurt","Birkins","BAL","Relief Pitcher",74,188,26.55,2.54054054054054
"118","Sendy","Rleal","BAL","Relief Pitcher",73,180,26.69,2.46575342465753
"119","Jeremy","Guthrie","BAL","Relief Pitcher",73,200,27.9,2.73972602739726
"120","John","Parrish","BAL","Relief Pitcher",71,192,29.26,2.70422535211268
"121","Danys","Baez","BAL","Relief Pitcher",75,225,29.47,3
"122","Scott","Williamson","BAL","Relief Pitcher",72,180,31.03,2.5
"123","Chad","Bradford","BAL","Relief Pitcher",77,203,32.46,2.63636363636364
"124","Jamie","Walker","BAL","Relief Pitcher",74,195,35.67,2.63513513513514
"125","Brian","Roberts","BAL","Second Baseman",69,176,29.39,2.55072463768116
"126","Miguel","Tejada","BAL","Shortstop",69,209,30.77,3.02898550724638
"127","Hayden","Penn","BAL","Starting Pitcher",75,185,22.38,2.46666666666667
"128","Adam","Loewen","BAL","Starting Pitcher",78,219,22.89,2.80769230769231
"129","Daniel","Cabrera","BAL","Starting Pitcher",79,230,25.76,2.91139240506329
"130","Erik","Bedard","BAL","Starting Pitcher",73,189,27.99,2.58904109589041
"131","Jaret","Wright","BAL","Starting Pitcher",74,230,31.17,3.10810810810811
"132","Kris","Benson","BAL","Starting Pitcher",76,195,32.31,2.56578947368421
"133","Steve","Trachsel","BAL","Starting Pitcher",76,205,36.33,2.69736842105263
"134","Aubrey","Huff","BAL","Third Baseman",76,231,30.19,3.03947368421053
"135","Melvin","Mora","BAL","Third Baseman",71,200,35.07,2.8169014084507
"136","George","Kottaras","BOS","Catcher",72,180,23.79,2.5
"137","Jason","Varitek","BOS","Catcher",74,230,34.89,3.10810810810811
"138","Doug","Mirabelli","BOS","Catcher",73,220,36.37,3.01369863013699
"139","David","Ortiz","BOS","Designated Hitter",76,230,31.28,3.02631578947368
"140","Kevin","Youkilis","BOS","First Baseman",73,220,27.96,3.01369863013699
"141","Brandon","Moss","BOS","Outfielder",72,180,23.46,2.5
"142","Wily","Mo Pena","BOS","Outfielder",75,215,25.1,2.86666666666667
"143","David","Murphy","BOS","Outfielder",76,192,25.37,2.52631578947368
"144","Coco","Crisp","BOS","Outfielder",72,185,27.33,2.56944444444444
"145","Eric","Hinske","BOS","Outfielder",74,235,29.57,3.17567567567568
"146","J.D.","Drew","BOS","Outfielder",73,200,31.28,2.73972602739726
"147","Manny","Ramirez","BOS","Outfielder",72,213,34.75,2.95833333333333
"148","Craig","Hansen","BOS","Relief Pitcher",78,210,23.29,2.69230769230769
"149","Nick","DeBarr","BOS","Relief Pitcher",76,220,23.52,2.89473684210526
"150","Manny","Delcarmen","BOS","Relief Pitcher",74,190,25.03,2.56756756756757
"151","Craig","Breslow","BOS","Relief Pitcher",73,180,26.56,2.46575342465753
"152","Joel","Pineiro","BOS","Relief Pitcher",73,200,28.43,2.73972602739726
"153","Javier","Lopez","BOS","Relief Pitcher",76,200,29.64,2.63157894736842
"154","J.C.","Romero","BOS","Relief Pitcher",71,198,30.74,2.7887323943662
"155","Hideki","Okajima","BOS","Relief Pitcher",73,194,31.18,2.65753424657534
"156","Julian","Tavarez","BOS","Relief Pitcher",74,195,33.77,2.63513513513514
"157","Brendan","Donnelly","BOS","Relief Pitcher",75,240,35.66,3.2
"158","Mike","Timlin","BOS","Relief Pitcher",76,210,40.97,2.76315789473684
"159","Dustin","Pedroia","BOS","Second Baseman",69,180,23.54,2.60869565217391
"160","Julio","Lugo","BOS","Shortstop",73,170,31.29,2.32876712328767
"161","Alex","Cora","BOS","Shortstop",72,180,31.37,2.5
"162","Jon","Lester","BOS","Starting Pitcher",74,190,23.15,2.56756756756757
"163","Kason","Gabbard","BOS","Starting Pitcher",75,200,24.9,2.66666666666667
"164","Jonathan","Papelbon","BOS","Starting Pitcher",76,230,26.27,3.02631578947368
"165","Josh","Beckett","BOS","Starting Pitcher",77,222,26.79,2.88311688311688
"166","Devern","Hansack","BOS","Starting Pitcher",74,180,29.07,2.43243243243243
"167","Kyle","Snyder","BOS","Starting Pitcher",80,220,29.47,2.75
"168","Matt","Clement","BOS","Starting Pitcher",75,210,32.55,2.8
"169","Curt","Schilling","BOS","Starting Pitcher",77,235,40.29,3.05194805194805
"170","Tim","Wakefield","BOS","Starting Pitcher",74,210,40.58,2.83783783783784
"171","Mike","Lowell","BOS","Third Baseman",75,210,33.01,2.8
"172","Geovany","Soto","CHC","Catcher",73,195,24.11,2.67123287671233
"173","Michael","Barrett","CHC","Catcher",75,210,30.35,2.8
"174","Henry","Blanco","CHC","Catcher",71,224,35.5,3.15492957746479
"175","Scott","Moore","CHC","First Baseman",74,180,23.29,2.43243243243243
"176","Derrek","Lee","CHC","First Baseman",77,245,31.48,3.18181818181818
"177","Buck","Coats","CHC","Outfielder",75,195,24.73,2.6
"178","Matt","Murton","CHC","Outfielder",73,215,25.41,2.94520547945205
"179","Angel","Pagan","CHC","Outfielder",73,180,25.66,2.46575342465753
"180","Alfonso","Soriano","CHC","Outfielder",73,180,31.15,2.46575342465753
"181","Daryle","Ward","CHC","Outfielder",74,230,31.68,3.10810810810811
"182","Jacque","Jones","CHC","Outfielder",70,195,31.85,2.78571428571429
"183","Mark","DeRosa","CHC","Outfielder",73,205,32.01,2.80821917808219
"184","Cliff","Floyd","CHC","Outfielder",76,230,34.23,3.02631578947368
"185","Neal","Cotts","CHC","Relief Pitcher",74,200,26.93,2.7027027027027
"186","Roberto","Novoa","CHC","Relief Pitcher",77,200,27.54,2.5974025974026
"187","Mike","Wuertz","CHC","Relief Pitcher",75,205,28.21,2.73333333333333
"188","Will","Ohman","CHC","Relief Pitcher",74,205,29.55,2.77027027027027
"189","Kerry","Wood","CHC","Relief Pitcher",77,225,29.71,2.92207792207792
"190","Ryan","Dempster","CHC","Relief Pitcher",74,215,29.83,2.9054054054054
"191","Bob","Howry","CHC","Relief Pitcher",77,220,33.57,2.85714285714286
"192","Scott","Eyre","CHC","Relief Pitcher",73,210,34.75,2.87671232876712
"193","Ryan","Theriot","CHC","Second Baseman",71,175,27.23,2.46478873239437
"194","Ronny","Cedeno","CHC","Shortstop",72,180,24.07,2.5
"195","Juan","Mateo","CHC","Starting Pitcher",74,180,24.2,2.43243243243243
"196","Carlos","Marmol","CHC","Starting Pitcher",74,180,24.38,2.43243243243243
"197","Sean","Marshall","CHC","Starting Pitcher",79,205,24.5,2.59493670886076
"198","Angel","Guzman","CHC","Starting Pitcher",75,190,25.21,2.53333333333333
"199","Carlos","Zambrano","CHC","Starting Pitcher",77,255,25.75,3.31168831168831
"200","Mark","Prior","CHC","Starting Pitcher",77,230,26.48,2.98701298701299
"201","Ryan","O'Malley","CHC","Starting Pitcher",73,190,26.89,2.6027397260274
"202","Rich","Hill","CHC","Starting Pitcher",77,190,26.97,2.46753246753247
"203","Jason","Marquis","CHC","Starting Pitcher",73,210,28.53,2.87671232876712
"204","Wade","Miller","CHC","Starting Pitcher",74,220,30.46,2.97297297297297
"205","Ted","Lilly","CHC","Starting Pitcher",73,190,31.15,2.6027397260274
"206","Cesar","Izturis","CHC","Third Baseman",69,175,27.05,2.53623188405797
"207","Aramis","Ramirez","CHC","Third Baseman",73,215,28.68,2.94520547945205
"208","David","Ross","CIN","Catcher",74,205,29.95,2.77027027027027
"209","Javier","Valentin","CIN","Catcher",70,192,31.45,2.74285714285714
"210","Chad","Moeller","CIN","Catcher",75,210,32.03,2.8
"211","Joey","Votto","CIN","First Baseman",75,200,23.47,2.66666666666667
"212","Scott","Hatteberg","CIN","First Baseman",73,210,37.21,2.87671232876712
"213","Josh","Hamilton","CIN","Outfielder",76,205,25.78,2.69736842105263
"214","Chris","Denorfia","CIN","Outfielder",73,185,26.63,2.53424657534247
"215","Adam","Dunn","CIN","Outfielder",78,240,27.31,3.07692307692308
"216","Norris","Hopper","CIN","Outfielder",69,200,27.94,2.89855072463768
"217","Bubba","Crosby","CIN","Outfielder",71,185,30.55,2.6056338028169
"218","Ryan","Freel","CIN","Outfielder",70,180,30.98,2.57142857142857
"219","Ken","Griffey","CIN","Outfielder",75,205,37.27,2.73333333333333
"220","Jeff","Conine","CIN","Outfielder",73,220,40.68,3.01369863013699
"221","Bill","Bray","CIN","Relief Pitcher",75,215,23.74,2.86666666666667
"222","Bobby","Livingston","CIN","Relief Pitcher",75,190,24.49,2.53333333333333
"223","Jared","Burton","CIN","Relief Pitcher",77,220,25.74,2.85714285714286
"224","Todd","Coffey","CIN","Relief Pitcher",77,230,26.47,2.98701298701299
"225","Matt","Belisle","CIN","Relief Pitcher",75,195,26.73,2.6
"226","Gary","Majewski","CIN","Relief Pitcher",73,215,27.01,2.94520547945205
"227","Brad","Salmon","CIN","Relief Pitcher",76,220,27.16,2.89473684210526
"228","Brian","Shackelford","CIN","Relief Pitcher",73,195,30.5,2.67123287671233
"229","David","Weathers","CIN","Relief Pitcher",75,230,37.43,3.06666666666667
"230","Mike","Stanton","CIN","Relief Pitcher",73,215,39.75,2.94520547945205
"231","Rheal","Cormier","CIN","Relief Pitcher",70,195,39.85,2.78571428571429
"232","Brandon","Phillips","CIN","Second Baseman",71,185,25.67,2.6056338028169
"233","Alex","Gonzalez","CIN","Shortstop",72,202,30.04,2.80555555555556
"234","Juan","Castro","CIN","Shortstop",71,195,34.69,2.74647887323944
"235","Elizardo","Ramirez","CIN","Starting Pitcher",72,180,24.09,2.5
"236","Kirk","Saarloos","CIN","Starting Pitcher",72,230,27.77,3.19444444444444
"237","Kyle","Lohse","CIN","Starting Pitcher",74,201,28.41,2.71621621621622
"238","Aaron","Harang","CIN","Starting Pitcher",79,240,28.81,3.0379746835443
"239","Bronson","Arroyo","CIN","Starting Pitcher",77,190,30.01,2.46753246753247
"240","Eric","Milton","CIN","Starting Pitcher",75,208,31.57,2.77333333333333
"241","Edwin","Encarnacion","CIN","Third Baseman",73,195,24.15,2.67123287671233
"242","Jeff","Keppinger","CIN","Third Baseman",72,180,26.86,2.5
"243","Mark","Bellhorn","CIN","Third Baseman",73,205,32.52,2.80821917808219
"244","Kelly","Shoppach","CLE","Catcher",73,210,26.84,2.87671232876712
"245","Victor","Martinez","CLE","Catcher",74,190,28.19,2.56756756756757
"246","Travis","Hafner","CLE","Designated Hitter",75,240,29.74,3.2
"247","Ryan","Garko","CLE","First Baseman",74,225,26.16,3.04054054054054
"248","Franklin","Gutierrez","CLE","Outfielder",74,175,24.02,2.36486486486486
"249","Grady","Sizemore","CLE","Outfielder",74,200,24.58,2.7027027027027
"250","Shin-Soo","Choo","CLE","Outfielder",71,178,24.63,2.50704225352113
"251","Ben","Francisco","CLE","Outfielder",73,180,25.35,2.46575342465753
"252","Jason","Michaels","CLE","Outfielder",72,204,30.82,2.83333333333333
"253","Trot","Nixon","CLE","Outfielder",74,211,32.89,2.85135135135135
"254","David","Dellucci","CLE","Outfielder",71,190,33.33,2.67605633802817
"255","Casey","Blake","CLE","Outfielder",74,210,33.52,2.83783783783784
"256","Edward","Mujica","CLE","Relief Pitcher",74,220,22.81,2.97297297297297
"257","Fausto","Carmona","CLE","Relief Pitcher",76,220,23.23,2.89473684210526
"258","Rafael","Perez","CLE","Relief Pitcher",75,185,24.96,2.46666666666667
"259","Fernando","Cabrera","CLE","Relief Pitcher",76,170,25.29,2.23684210526316
"260","Brian","Slocum","CLE","Relief Pitcher",76,200,25.93,2.63157894736842
"261","Tom","Mastny","CLE","Relief Pitcher",78,220,26.07,2.82051282051282
"262","Juan","Lara","CLE","Relief Pitcher",74,190,26.09,2.56756756756757
"263","Jason","Davis","CLE","Relief Pitcher",78,210,26.81,2.69230769230769
"264","Rafael","Betancourt","CLE","Relief Pitcher",74,200,31.84,2.7027027027027
"265","Aaron","Fultz","CLE","Relief Pitcher",72,205,33.49,2.84722222222222
"266","Matt","Miller","CLE","Relief Pitcher",75,215,35.27,2.86666666666667
"267","Joe","Borowski","CLE","Relief Pitcher",74,225,35.82,3.04054054054054
"268","Roberto","Hernandez","CLE","Relief Pitcher",76,250,42.3,3.28947368421053
"269","Josh","Barfield","CLE","Second Baseman",72,185,24.2,2.56944444444444
"270","Hector","Luna","CLE","Second Baseman",73,170,27.08,2.32876712328767
"271","Joe","Inglett","CLE","Second Baseman",70,180,28.67,2.57142857142857
"272","Jhonny","Peralta","CLE","Shortstop",73,185,24.76,2.53424657534247
"273","Jeremy","Sowers","CLE","Starting Pitcher",73,175,23.79,2.3972602739726
"274","C.C.","Sabathia","CLE","Starting Pitcher",79,290,26.61,3.67088607594937
"275","Cliff","Lee","CLE","Starting Pitcher",75,190,28.5,2.53333333333333
"276","Jake","Westbrook","CLE","Starting Pitcher",75,185,29.42,2.46666666666667
"277","Paul","Byrd","CLE","Starting Pitcher",73,190,36.24,2.6027397260274
"278","Andy","Marte","CLE","Third Baseman",73,185,23.36,2.53424657534247
"279","Chris","Iannetta","COL","Catcher",71,195,23.9,2.74647887323944
"280","Alvin","Colina","COL","Catcher",75,209,25.18,2.78666666666667
"281","Yorvit","Torrealba","COL","Catcher",71,190,28.62,2.67605633802817
"282","Javy","Lopez","COL","Designated Hitter",75,224,36.32,2.98666666666667
"283","Todd","Helton","COL","First Baseman",74,204,33.53,2.75675675675676
"284","Willy","Taveras","COL","Outfielder",72,160,25.18,2.22222222222222
"285","Jeff","Baker","COL","Outfielder",74,210,25.69,2.83783783783784
"286","Jeff","Salazar","COL","Outfielder",72,180,26.26,2.5
"287","Matt","Holliday","COL","Outfielder",76,235,27.12,3.0921052631579
"288","Ryan","Spilborghs","COL","Outfielder",73,190,27.49,2.6027397260274
"289","Cory","Sullivan","COL","Outfielder",72,180,27.53,2.5
"290","Brad","Hawpe","COL","Outfielder",75,200,27.69,2.66666666666667
"291","Juan","Morillo","COL","Relief Pitcher",73,190,23.32,2.6027397260274
"292","Manny","Corpas","COL","Relief Pitcher",75,170,24.24,2.26666666666667
"293","Ramon","Ramirez","COL","Relief Pitcher",71,190,25.5,2.67605633802817
"294","Ryan","Speier","COL","Relief Pitcher",79,200,27.6,2.53164556962025
"295","Jeremy","Affeldt","COL","Relief Pitcher",76,215,27.73,2.82894736842105
"296","Brian","Fuentes","COL","Relief Pitcher",76,220,31.56,2.89473684210526
"297","LaTroy","Hawkins","COL","Relief Pitcher",77,215,34.19,2.79220779220779
"298","Tom","Martin","COL","Relief Pitcher",73,206,36.78,2.82191780821918
"299","Kaz","Matsui","COL","Second Baseman",70,185,31.35,2.64285714285714
"300","Jamey","Carroll","COL","Second Baseman",69,170,33.03,2.46376811594203
"301","Troy","Tulowitzki","COL","Shortstop",75,205,22.39,2.73333333333333
"302","Clint","Barmes","COL","Shortstop",72,175,27.99,2.43055555555556
"303","Ubaldo","Jimenez","COL","Starting Pitcher",76,200,23.1,2.63157894736842
"304","Jason","Hirsh","COL","Starting Pitcher",80,250,25.02,3.125
"305","Taylor","Buchholz","COL","Starting Pitcher",76,220,25.38,2.89473684210526
"306","Jeff","Francis","COL","Starting Pitcher",77,200,26.14,2.5974025974026
"307","Denny","Bautista","COL","Starting Pitcher",77,170,26.52,2.20779220779221
"308","Aaron","Cook","COL","Starting Pitcher",75,205,28.06,2.73333333333333
"309","Byung-Hyun","Kim","COL","Starting Pitcher",69,180,28.11,2.60869565217391
"310","Josh","Fogg","COL","Starting Pitcher",72,203,30.21,2.81944444444444
"311","Brian","Lawrence","COL","Starting Pitcher",72,197,30.8,2.73611111111111
"312","Rodrigo","Lopez","COL","Starting Pitcher",73,190,31.21,2.6027397260274
"313","Garrett","Atkins","COL","Third Baseman",75,210,27.22,2.8
"314","A.J.","Pierzynski","CWS","Catcher",75,245,30.17,3.26666666666667
"315","Toby","Hall","CWS","Catcher",75,240,31.36,3.2
"316","Jerry","Owens","CWS","Designated Hitter",75,195,26.03,2.6
"317","Jim","Thome","CWS","Designated Hitter",76,244,36.51,3.21052631578947
"318","Paul","Konerko","CWS","First Baseman",74,215,30.99,2.9054054054054
"319","Ryan","Sweeney","CWS","Outfielder",76,200,22.02,2.63157894736842
"320","Brian","N. Anderson","CWS","Outfielder",74,205,24.97,2.77027027027027
"321","Luis","Terrero","CWS","Outfielder",74,206,26.78,2.78378378378378
"322","Rob","Mackowiak","CWS","Outfielder",70,195,30.69,2.78571428571429
"323","Scott","Podsednik","CWS","Outfielder",72,188,30.95,2.61111111111111
"324","Pablo","Ozuna","CWS","Outfielder",70,186,32.51,2.65714285714286
"325","Darin","Erstad","CWS","Outfielder",74,210,32.74,2.83783783783784
"326","Jermaine","Dye","CWS","Outfielder",77,220,33.09,2.85714285714286
"327","Boone","Logan","CWS","Relief Pitcher",77,200,22.55,2.5974025974026
"328","Andrew","Sisco","CWS","Relief Pitcher",81,260,24.13,3.20987654320988
"329","Nick","Masset","CWS","Relief Pitcher",76,190,24.79,2.5
"330","David","Aardsma","CWS","Relief Pitcher",77,200,25.17,2.5974025974026
"331","Bobby","Jenks","CWS","Relief Pitcher",75,270,25.96,3.6
"332","Sean","Tracey","CWS","Relief Pitcher",75,210,26.29,2.8
"333","Mike","MacDougal","CWS","Relief Pitcher",76,195,29.99,2.56578947368421
"334","Matt","Thornton","CWS","Relief Pitcher",78,228,30.46,2.92307692307692
"335","Tadahito","Iguchi","CWS","Second Baseman",69,185,32.24,2.68115942028985
"336","Juan","Uribe","CWS","Shortstop",71,175,27.61,2.46478873239437
"337","Alex","Cintron","CWS","Shortstop",74,199,28.2,2.68918918918919
"338","Charlie","Haeger","CWS","Starting Pitcher",73,200,23.45,2.73972602739726
"339","Gavin","Floyd","CWS","Starting Pitcher",76,212,24.09,2.78947368421053
"340","Heath","Phillips","CWS","Starting Pitcher",75,200,24.94,2.66666666666667
"341","Jon","Garland","CWS","Starting Pitcher",78,210,27.43,2.69230769230769
"342","Mark","Buehrle","CWS","Starting Pitcher",74,220,27.94,2.97297297297297
"343","Javier","Vazquez","CWS","Starting Pitcher",74,205,30.6,2.77027027027027
"344","Jose","Contreras","CWS","Starting Pitcher",76,224,35.23,2.94736842105263
"345","Josh","Fields","CWS","Third Baseman",73,215,24.21,2.94520547945205
"346","Joe","Crede","CWS","Third Baseman",73,200,28.85,2.73972602739726
"347","Vance","Wilson","DET","Catcher",71,190,33.95,2.67605633802817
"348","Ivan","Rodriguez","DET","Catcher",69,218,35.25,3.15942028985507
"349","Mike","Rabelo","DET","Designated Hitter",73,200,27.12,2.73972602739726
"350","Chris","Shelton","DET","First Baseman",72,220,26.68,3.05555555555556
"351","Sean","Casey","DET","First Baseman",76,225,32.66,2.96052631578947
"352","Brent","Clevlen","DET","Outfielder",74,190,23.34,2.56756756756757
